-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.013,  0.115
-183.800, 80.199, 0.036,  0.148
-183.800, 80.197, 0.035,  0.181
-183.800, 80.196, 0.038,  0.214
-183.800, 80.194, 0.068,  0.247
-183.800, 80.188, 0.166,  0.280
-183.799, 80.179, 0.279,  0.313
-183.799, 80.166, 0.392,  0.346
-183.798, 80.149, 0.517,  0.379
-183.797, 80.124, 0.796,  0.412
-183.796, 80.090, 1.009,  0.445
-183.794, 80.051, 1.175,  0.478
-183.792, 80.008, 1.306,  0.511
-183.790, 79.961, 1.407,  0.544
-183.788, 79.913, 1.445,  0.577
-183.785, 79.864, 1.473,  0.610
-183.783, 79.815, 1.501,  0.643
-183.781, 79.765, 1.521,  0.676
-183.778, 79.715, 1.532,  0.709
-183.776, 79.664, 1.544,  0.742
-183.773, 79.613, 1.556,  0.775
-183.770, 79.561, 1.567,  0.808
-183.768, 79.509, 1.577,  0.841
-183.765, 79.457, 1.588,  0.874
-183.762, 79.404, 1.597,  0.907
-183.759, 79.351, 1.606,  0.940
-183.756, 79.298, 1.614,  0.973
-183.753, 79.244, 1.621,  1.006
-183.750, 79.190, 1.628,  1.039
-183.746, 79.136, 1.635,  1.072
-183.743, 79.082, 1.641,  1.105
-183.740, 79.027, 1.646,  1.138
-183.736, 78.973, 1.651,  1.171
-183.733, 78.918, 1.656,  1.204
-183.730, 78.863, 1.661,  1.237
-183.726, 78.807, 1.666,  1.270
-183.723, 78.752, 1.670,  1.303
-183.719, 78.696, 1.674,  1.336
-183.715, 78.641, 1.678,  1.369
-183.712, 78.585, 1.683,  1.402
-183.708, 78.529, 1.687,  1.435
-183.704, 78.473, 1.691,  1.468
-183.700, 78.416, 1.696,  1.501
-183.697, 78.360, 1.700,  1.534
-183.693, 78.303, 1.705,  1.567
-183.689, 78.246, 1.710,  1.600
-183.685, 78.189, 1.715,  1.633
-183.681, 78.132, 1.720,  1.666
-183.676, 78.075, 1.725,  1.699
-183.672, 78.018, 1.730,  1.732
